GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TaskManager,edu.eci.cvds.TaskManager.model,Task,29,0,0,0,13,0,7,0,7,0
TaskManager,edu.eci.cvds.TaskManager.service,TaskService,57,6,0,0,12,3,7,1,7,1
TaskManager,edu.eci.cvds.TaskManager.controller,TaskController,60,6,2,0,16,3,8,1,7,1
TaskManager,edu.eci.cvds.TaskManager,TaskManagerApplication,5,3,0,0,2,1,1,1,1,1
